domain,tld,release_date,available,indexed,estimated_pages,index_source,checked_at
aktad.se,se,2026-06-29,True,True,500,wayback,2026-06-28T10:33:16.267850+00:00
anbud24.se,se,2026-06-29,True,True,500,wayback,2026-06-28T10:33:16.267850+00:00
andershall.se,se,2026-06-29,True,True,500,wayback,2026-06-28T10:33:16.267850+00:00
jazzper.se,se,2026-06-29,True,True,500,wayback,2026-06-28T10:33:16.267850+00:00
kidsbutik.se,se,2026-06-29,True,True,500,wayback,2026-06-28T10:33:16.267850+00:00
pyssloteket.se,se,2026-06-29,True,True,500,wayback,2026-06-28T10:33:16.267850+00:00
satmaran.se,se,2026-06-29,True,True,500,wayback,2026-06-28T10:33:16.267850+00:00
texmart.se,se,2026-06-29,True,True,388,wayback,2026-06-28T10:33:16.267850+00:00
ytringsfrihed.nu,nu,2026-06-29,True,True,359,wayback,2026-06-28T10:33:16.267850+00:00
planb.nu,nu,2026-06-29,True,True,343,wayback,2026-06-28T10:33:16.267850+00:00
norband.se,se,2026-06-29,True,True,302,wayback,2026-06-28T10:33:16.267850+00:00
xn--innebandyskne-zfb.se,se,2026-06-29,True,True,289,wayback,2026-06-28T10:33:16.267850+00:00
knatteverkstan.se,se,2026-06-29,True,True,288,wayback,2026-06-28T10:33:16.267850+00:00
hittahunddagis.se,se,2026-06-29,True,True,228,wayback,2026-06-28T10:33:16.267850+00:00
romerskaspa.se,se,2026-06-29,True,True,201,wayback,2026-06-28T10:33:16.267850+00:00
nevada.se,se,2026-06-29,True,True,160,wayback,2026-06-28T10:33:16.267850+00:00
chairochgalen.se,se,2026-06-29,True,True,147,wayback,2026-06-28T10:33:16.267850+00:00
sundrekrytering.se,se,2026-06-29,True,True,144,wayback,2026-06-28T10:33:16.267850+00:00
rockisol.se,se,2026-06-29,True,True,137,wayback,2026-06-28T10:33:16.267850+00:00
aloura.se,se,2026-06-29,True,True,131,wayback,2026-06-28T10:33:16.267850+00:00
nastydecor.se,se,2026-06-29,True,True,131,wayback,2026-06-28T10:33:16.267850+00:00
jongerentheater.nu,nu,2026-06-29,True,True,108,wayback,2026-06-28T10:33:16.267850+00:00
17mai.se,se,2026-06-29,True,True,102,wayback,2026-06-28T10:33:16.267850+00:00
